Volcanoes of the World 4.3.0,,Downloaded on 13 Jul 2014 at 11:45 PM,,,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
357150,Puyehue-Cordón Caulle,"Naranjo J, Singer B, Moreno H, Lara L, Jicha B",2008,"Holocene tephrochronology of Puyehue and Casablanca volcanoes, southern Andes","IAVCEI Iceland Gen Assembly, Reykjavik 2008, abs 2-a P12 and poster"
357150,Puyehue-Cordón Caulle,"Newhall C G, Dzurisin D",1988,Historical unrest at large calderas of the world,"U S Geol Surv Bull, 1855: 1108 p, 2 vol"
357150,Puyehue-Cordón Caulle,"Singer B S, Jicha B R, Haper M A, Naranjo J A, Lara L E, Moreno-Roa H, Lara L",2008,"Eruptive history, geochronology, and magmatic evolution of the Puyehue-Cordon Caulle volcanic complex, Chile","Geol Soc Amer Bull, 120: 599-618"
357152,"Pantojo, Cerro",Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
357152,"Pantojo, Cerro",IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
357152,"Pantojo, Cerro","Lara L, Rodriguez C, Moreno H, Perez de Arce C",2001,Geocronologia K-Ar y geoquimica del volcanismo plioceno superior-pleistoceno de los Andes del sur (39-42° S),"Rev Geol Chile, 28: 67-90"
357152,"Pantojo, Cerro",Moreno H,1985,,(pers. comm.)
357153,Antillanca Group,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
357153,Antillanca Group,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
357153,Antillanca Group,"Lara L E, Moreno H, Naranjo J A, Matthews S, Perez de Arce C",2006a,"Magmatic evolution of the Puyehue-Cordon Caulle volcanic complex (40° S), Southern Andean Volcanic Zone: from shield to unusual rhyolitic fissure volcanism","J Volc Geotherm Res, 157: 343-366"
357153,Antillanca Group,"Lara L, Rodriguez C, Moreno H, Perez de Arce C",2001,Geocronologia K-Ar y geoquimica del volcanismo plioceno superior-pleistoceno de los Andes del sur (39-42° S),"Rev Geol Chile, 28: 67-90"
357153,Antillanca Group,Moreno H,1974,Airplane flight over active volcanoes of central-south Chile,"Internatl Symp Volc Andean & Antarctic Volc Problems Guidebook, Excur D-3, 56 p"
357153,Antillanca Group,Moreno H,1976,The upper Cenozoic volcanism in the Andes of southern Chile (from 40°00' to 41°30' lat S),"In: Gonzalez-Ferran O (ed) {Proc Symp Andean & Antarctic Volcanology Problems (Santiago, Chile, Sept 1974)}, Rome: IAVCEI, p 143-171"
357153,Antillanca Group,Moreno H,1985,,(pers. comm.)
357153,Antillanca Group,"Moreno H, Naranjo J A",1991,"The southern Andes volcanoes (33°-41° 30' S), Chile","6th Geol Cong Chile, Excur PC-3, 26 p"
357153,Antillanca Group,"Naranjo J, Singer B, Moreno H, Lara L, Jicha B",2008,"Holocene tephrochronology of Puyehue and Casablanca volcanoes, southern Andes","IAVCEI Iceland Gen Assembly, Reykjavik 2008, abs 2-a P12 and poster"
357153,Antillanca Group,"Singer B S, Jicha B R, Haper M A, Naranjo J A, Lara L E, Moreno-Roa H, Lara L",2008,"Eruptive history, geochronology, and magmatic evolution of the Puyehue-Cordon Caulle volcanic complex, Chile","Geol Soc Amer Bull, 120: 599-618"
357160,Puntiagudo-Cordón Cenizos,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
357160,Puntiagudo-Cordón Cenizos,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
357160,Puntiagudo-Cordón Cenizos,Moreno H,1974,Airplane flight over active volcanoes of central-south Chile,"Internatl Symp Volc Andean & Antarctic Volc Problems Guidebook, Excur D-3, 56 p"
357160,Puntiagudo-Cordón Cenizos,Moreno H,1976,The upper Cenozoic volcanism in the Andes of southern Chile (from 40°00' to 41°30' lat S),"In: Gonzalez-Ferran O (ed) {Proc Symp Andean & Antarctic Volcanology Problems (Santiago, Chile, Sept 1974)}, Rome: IAVCEI, p 143-171"
357160,Puntiagudo-Cordón Cenizos,"Moreno H, Naranjo J A",1991,"The southern Andes volcanoes (33°-41° 30' S), Chile","6th Geol Cong Chile, Excur PC-3, 26 p"
358010,Osorno,Casertano L,1963a,Chilean Continent,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 15: 1-55"
358010,Osorno,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358010,Osorno,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
358010,Osorno,"Lara L, Rodriguez C, Moreno H, Perez de Arce C",2001,Geocronologia K-Ar y geoquimica del volcanismo plioceno superior-pleistoceno de los Andes del sur (39-42° S),"Rev Geol Chile, 28: 67-90"
358010,Osorno,"Lopez-Escobar L, Parada M A, Moreno H, Frey F A, Hickey-Vargas R L",1992,"A contribution to the petrogenesis of Osorno and Calbuco volcanoes, Southern Andes (41° 00' - 41° 30' S)","Rev Geol Chile, 19: 211-226"
358010,Osorno,Moreno H,1974,Airplane flight over active volcanoes of central-south Chile,"Internatl Symp Volc Andean & Antarctic Volc Problems Guidebook, Excur D-3, 56 p"
358010,Osorno,Moreno H,1985,,(pers. comm.)
358010,Osorno,Moreno H,2004,Osorno-Calbuco,"IAVCEI Gen Assembly 2004 Pucon, Chile Field Trip Guide C4, 14 p"
358010,Osorno,"Moreno H, Naranjo J A",1991,"The southern Andes volcanoes (33°-41° 30' S), Chile","6th Geol Cong Chile, Excur PC-3, 26 p"
358011,Tronador,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358011,Tronador,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
358011,Tronador,"Mella M, Munoz J, Vergara M, Klohn E, Farmer L, Stern C R",2005,"Petrogenesis of the Pleistocene Tronador volcanic group, Andean Southern Volcanic Zone","Rev Geol Chile, 32: 131-154"
358011,Tronador,Moreno H,1976,The upper Cenozoic volcanism in the Andes of southern Chile (from 40°00' to 41°30' lat S),"In: Gonzalez-Ferran O (ed) {Proc Symp Andean & Antarctic Volcanology Problems (Santiago, Chile, Sept 1974)}, Rome: IAVCEI, p 143-171"
358012,Cayutué-La Viguería,Auer V,1959,The Pleistocene of Fuego-Patagonia Part 3: Shoreline displacements,"Suomalainen Tiedeakatemia Helsingfors Toimituksia, Ser A-3, 60: 1-247"
358012,Cayutué-La Viguería,Moreno H,1976,The upper Cenozoic volcanism in the Andes of southern Chile (from 40°00' to 41°30' lat S),"In: Gonzalez-Ferran O (ed) {Proc Symp Andean & Antarctic Volcanology Problems (Santiago, Chile, Sept 1974)}, Rome: IAVCEI, p 143-171"
358012,Cayutué-La Viguería,Moreno H,1985,,(pers. comm.)
358012,Cayutué-La Viguería,Moreno H,2004,Osorno-Calbuco,"IAVCEI Gen Assembly 2004 Pucon, Chile Field Trip Guide C4, 14 p"
358012,Cayutué-La Viguería,"Watt S F L, Pyle D M, Naranjo J A, Rosqvist G, Mella M, Mather T A, Moreno H",2011,"Holocene tephrochronology of the Hualaihue region (Andean souther volcanic zone, ~42 deg S), southern Chile","Quat Internatl, 246: 324-343"
358020,Calbuco,Casertano L,1963a,Chilean Continent,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 15: 1-55"
358020,Calbuco,"Castruccio A, Clavero J, Rivera A",2010,"Comparative study of lahars generated by the 1961 and 1971 eruptions of Calbuco and Villarrica volcanoes, Southern Andes of Chile","J Volc Geotherm Res, 190: 297-311"
358020,Calbuco,Gonzalez-Ferran O,1972,Distribucion del volcanismo activo de Chile y la reciente erupcion del Volcan Villarrica,"Instituto Geog Militar Chile, O/T 3491"
358020,Calbuco,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358020,Calbuco,"Lara L, Rodriguez C, Moreno H, Perez de Arce C",2001,Geocronologia K-Ar y geoquimica del volcanismo plioceno superior-pleistoceno de los Andes del sur (39-42° S),"Rev Geol Chile, 28: 67-90"
358020,Calbuco,"Lopez-Escobar L, Parada M A, Moreno H, Frey F A, Hickey-Vargas R L",1992,"A contribution to the petrogenesis of Osorno and Calbuco volcanoes, Southern Andes (41° 00' - 41° 30' S)","Rev Geol Chile, 19: 211-226"
358020,Calbuco,Moreno H,1974,Airplane flight over active volcanoes of central-south Chile,"Internatl Symp Volc Andean & Antarctic Volc Problems Guidebook, Excur D-3, 56 p"
358020,Calbuco,Moreno H,1985,,(pers. comm.)
358020,Calbuco,Moreno H,2004,Osorno-Calbuco,"IAVCEI Gen Assembly 2004 Pucon, Chile Field Trip Guide C4, 14 p"
358020,Calbuco,"Moreno H, Naranjo J A",1991,"The southern Andes volcanoes (33°-41° 30' S), Chile","6th Geol Cong Chile, Excur PC-3, 26 p"
358020,Calbuco,"Watt S F L, Pyle D M, Naranjo J A, Rosqvist G, Mella M, Mather T A, Moreno H",2011,"Holocene tephrochronology of the Hualaihue region (Andean souther volcanic zone, ~42 deg S), southern Chile","Quat Internatl, 246: 324-343"
358021,Cuernos del Diablo,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358021,Cuernos del Diablo,Moreno H,1976,The upper Cenozoic volcanism in the Andes of southern Chile (from 40°00' to 41°30' lat S),"In: Gonzalez-Ferran O (ed) {Proc Symp Andean & Antarctic Volcanology Problems (Santiago, Chile, Sept 1974)}, Rome: IAVCEI, p 143-171"
358022,Yate,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358022,Yate,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
358022,Yate,Moreno H,1985,,(pers. comm.)
358022,Yate,"Watt S F L, Pyle D M, Naranjo J A, Mather T A",2009,"Landslide and tsunami hazard at Yate volcano, Chile as an example of edifice destruction on strike-slip fault zones","Bull Volc, 71: 559-574"
358022,Yate,"Watt S F L, Pyle D M, Naranjo J A, Rosqvist G, Mella M, Mather T A, Moreno H",2011,"Holocene tephrochronology of the Hualaihue region (Andean souther volcanic zone, ~42 deg S), southern Chile","Quat Internatl, 246: 324-343"
358023,Hornopirén,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358023,Hornopirén,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
358023,Hornopirén,Moreno H,1985,,(pers. comm.)
358023,Hornopirén,"Watt S F L, Pyle D M, Naranjo J A, Rosqvist G, Mella M, Mather T A, Moreno H",2011,"Holocene tephrochronology of the Hualaihue region (Andean souther volcanic zone, ~42 deg S), southern Chile","Quat Internatl, 246: 324-343"
358024,Apagado,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358024,Apagado,"Watt S F L, Pyle D M, Naranjo J A, Rosqvist G, Mella M, Mather T A, Moreno H",2011,"Holocene tephrochronology of the Hualaihue region (Andean souther volcanic zone, ~42 deg S), southern Chile","Quat Internatl, 246: 324-343"
358025,Crater Basalt Volcanic Field,"Massaferro G I, Haller M J, D'Orazio M, Alric V I",2006,Sub-recent volcanism in northern Patagonia: a tectonomagmatic approach,"J Volc Geotherm Res, 155: 227-243"
358030,Huequi,Casertano L,1963a,Chilean Continent,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 15: 1-55"
358030,Huequi,Gonzalez-Ferran O,1972,Distribucion del volcanismo activo de Chile y la reciente erupcion del Volcan Villarrica,"Instituto Geog Militar Chile, O/T 3491"
358030,Huequi,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358030,Huequi,Moreno H,1985,,(pers. comm.)
358030,Huequi,"Watt S F L, Pyle D M, Tather T A",2011,"Geology, petrology and geochemistry of the dome complex of Huequi volcano, southern Chile","Andean Geol, 38: 335-348"
358040,Minchinmávida,"Amigo A, Lara L E, Smith V C",2013,"Holocene record of large explosive eruptions from Chaiten and Michinmahuida volcanoes, Chile","Andean Geol, 40: 227-248"
358040,Minchinmávida,Casertano L,1963a,Chilean Continent,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 15: 1-55"
358040,Minchinmávida,Gonzalez-Ferran O,1972,Distribucion del volcanismo activo de Chile y la reciente erupcion del Volcan Villarrica,"Instituto Geog Militar Chile, O/T 3491"
358040,Minchinmávida,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358040,Minchinmávida,Moreno H,1985,,(pers. comm.)
358040,Minchinmávida,"Naranjo J A, Stern C R",2004,Holocene tephrochronology of the southernmost part (42° 30' - 45° S) of the Andean Southern Volcanic Zone,"Rev Geol Chile, 31: 225-240"
358040,Minchinmávida,"Watt S F L, Pyle D M, Mather T A",2013,"Evidence of mid- to late-Holocene explosive rhyolitic eruptions from Chaiten volcano, Chile","Andean Geol, 40: 216-226"
358041,Chaitén,"Amigo A, Lara L E, Smith V C",2013,"Holocene record of large explosive eruptions from Chaiten and Michinmahuida volcanoes, Chile","Andean Geol, 40: 227-248"
358041,Chaitén,"Carn S A, Pallister J S, Lara L, Ewert J W, Watt S, Prata A J, Thomas R J, Villarosa G",2009,"The unexptected awakening of Chaiten volcano, Chile","Eos, Trans Amer Geophys Union, 90: 205-206"
358041,Chaitén,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358041,Chaitén,"Lara L E, Moreno R, Amigo A, Hoblitt R P, Pierson T C",2013,Late Holocene history of Chaiten volcano: new evidence for a 17th century eruption,"Andean Geol, 40: 249-261"
358041,Chaitén,Moreno H,1985,,(pers. comm.)
358041,Chaitén,"Naranjo J A, Stern C R",2004,Holocene tephrochronology of the southernmost part (42° 30' - 45° S) of the Andean Southern Volcanic Zone,"Rev Geol Chile, 31: 225-240"
358041,Chaitén,"Pichler H, Zeil W",1971,The Cenozoic rhyolite-andesite association of the Chilean Andes,"Bull Volc, 35: 424-452"
358041,Chaitén,"Watt S F L, Pyle D M, Mather T A",2013,"Evidence of mid- to late-Holocene explosive rhyolitic eruptions from Chaiten volcano, Chile","Andean Geol, 40: 216-226"
358041,Chaitén,"Watt S F L, Pyle D M, Mather T A, Martin R S, Matthews N E",2009,"Fallout and distribution of volcanic ash over Argentina following the May 2008 explosive eruption of Chaiten, Chile","J Geophys Res, 114: doi:10.1029/2008JB006219"
358049,Yanteles,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358049,Yanteles,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
358049,Yanteles,Moreno H,1992,Estudio preliminar del riesgo volcanico del area de Ralco,"Proyecto Ralco, INGENDESA, Chile, unpublished rpt"
358049,Yanteles,"Naranjo J A, Stern C R",2004,Holocene tephrochronology of the southernmost part (42° 30' - 45° S) of the Andean Southern Volcanic Zone,"Rev Geol Chile, 31: 225-240"
358049,Yanteles,Sapper K,1917,Katalog der Geschichtlichen Vulkanausbruche,"Strasbourg: Karl J Trubner, 358 p"
358050,Corcovado,Casertano L,1963a,Chilean Continent,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 15: 1-55"
358050,Corcovado,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358050,Corcovado,Moreno H,1985,,(pers. comm.)
358051,Palena Volcanic Group,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358051,Palena Volcanic Group,Moreno H,1985,,(pers. comm.)
358052,Melimoyu,"Fuenzalida R, Etchart H",1976,Evidencias de migracion volcanica reciente desde la linea de volcanes de la Patagonia Chilena,"In: Gonzalez-Ferran O (ed) {Proc Symp Andean & Antarctic Volcanology Problems (Santiago, Chile, Sept 1974)}, Rome: IAVCEI, p 392-397"
358052,Melimoyu,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358052,Melimoyu,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
358052,Melimoyu,Moreno H,1985,,(pers. comm.)
358052,Melimoyu,"Naranjo J A, Stern C R",2004,Holocene tephrochronology of the southernmost part (42° 30' - 45° S) of the Andean Southern Volcanic Zone,"Rev Geol Chile, 31: 225-240"
358053,Puyuhuapi,"Fuenzalida R, Etchart H",1976,Evidencias de migracion volcanica reciente desde la linea de volcanes de la Patagonia Chilena,"In: Gonzalez-Ferran O (ed) {Proc Symp Andean & Antarctic Volcanology Problems (Santiago, Chile, Sept 1974)}, Rome: IAVCEI, p 392-397"
358053,Puyuhuapi,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358053,Puyuhuapi,Moreno H,1985,,(pers. comm.)
358054,Mentolat,"Fuenzalida R, Etchart H",1976,Evidencias de migracion volcanica reciente desde la linea de volcanes de la Patagonia Chilena,"In: Gonzalez-Ferran O (ed) {Proc Symp Andean & Antarctic Volcanology Problems (Santiago, Chile, Sept 1974)}, Rome: IAVCEI, p 392-397"
358054,Mentolat,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358054,Mentolat,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
358054,Mentolat,Moreno H,1985,,(pers. comm.)
358054,Mentolat,"Naranjo J A, Stern C R",2004,Holocene tephrochronology of the southernmost part (42° 30' - 45° S) of the Andean Southern Volcanic Zone,"Rev Geol Chile, 31: 225-240"
358055,Cay,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358055,Cay,"Gutierrez F, Giocada A, Gonzalez Ferran O, Lahsen A, Mazzuoli R",2005,The Hudson volcano and surrounding monogenetic centres (Chilean Patagonia): an example of volcanism associated with ridge-trench collision environment,"J Volc Geotherm Res, 145: 207-233"
358055,Cay,"Naranjo J A, Stern C R",2004,Holocene tephrochronology of the southernmost part (42° 30' - 45° S) of the Andean Southern Volcanic Zone,"Rev Geol Chile, 31: 225-240"
358056,Macá,Gonzalez-Ferran O,1972,Distribucion del volcanismo activo de Chile y la reciente erupcion del Volcan Villarrica,"Instituto Geog Militar Chile, O/T 3491"
358056,Macá,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358056,Macá,"Gutierrez F, Giocada A, Gonzalez Ferran O, Lahsen A, Mazzuoli R",2005,The Hudson volcano and surrounding monogenetic centres (Chilean Patagonia): an example of volcanism associated with ridge-trench collision environment,"J Volc Geotherm Res, 145: 207-233"
358056,Macá,Moreno H,1985,,(pers. comm.)
358056,Macá,"Naranjo J A, Stern C R",2004,Holocene tephrochronology of the southernmost part (42° 30' - 45° S) of the Andean Southern Volcanic Zone,"Rev Geol Chile, 31: 225-240"
358057,"Hudson, Cerro","Branney M J, Gilbert J S",1995,"Ice-melt collapse pits and associated features in the 1991 lahar deposits of Volcan Hudson, Chile: criteria to distinguish eruption-induced glacier melt","Bull Volc, 57: 293-302"
358057,"Hudson, Cerro",Fuenzalida-Ponce R,1976,The Hudson volcano,"In: Gonzalez-Ferran O (ed) {Proc Symp Andean & Antarctic Volcanology Problems (Santiago, Chile, Sept 1974)}, Rome: IAVCEI, p 78-87"
358057,"Hudson, Cerro",Gonzalez-Ferran O,1972,Distribucion del volcanismo activo de Chile y la reciente erupcion del Volcan Villarrica,"Instituto Geog Militar Chile, O/T 3491"
358057,"Hudson, Cerro",Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358057,"Hudson, Cerro","Gutierrez F, Giocada A, Gonzalez Ferran O, Lahsen A, Mazzuoli R",2005,The Hudson volcano and surrounding monogenetic centres (Chilean Patagonia): an example of volcanism associated with ridge-trench collision environment,"J Volc Geotherm Res, 145: 207-233"
358057,"Hudson, Cerro","Haberle S G, Lumley S H",1998,"Age and origin of tephras recorded in postglacial lake sediments to the west of the southern Andes, 44° to 47° S","J Volc Geotherm Res, 84: 239-256"
358057,"Hudson, Cerro","Kilian R, Hohner M, Biester H, Wallrabe-Adams H J, Stern C R",2003,Holocene peat and lake sediment tephra record from the southernmost Chilean Andes (53-55° S),"Rev Geol Chile, 30: 23-37"
358057,"Hudson, Cerro","Kratzmann D J,  Carey S, Scasso R, Naranjo J-A",2009,"Compositional variations and magma mixing in the 1991 eruptions of Hudson volcano, Chile","Bull Volc, 71: 419-439"
358057,"Hudson, Cerro","Naranjo J A, Moreno R, Banks N G",1993,"La erupcion del volcan Hudson en 1991 (46° S), region XI, Aisen, Chile","Bol Serv Nac Geol Min Chile, 44: 1-50"
358057,"Hudson, Cerro","Naranjo J A, Stern C R",1998,"Holocene explosive activity of Hudson volcano, southern Andes","Bull Volc, 59: 291-306"
358057,"Hudson, Cerro","Newhall C G, Dzurisin D",1988,Historical unrest at large calderas of the world,"U S Geol Surv Bull, 1855: 1108 p, 2 vol"
358057,"Hudson, Cerro","Orihashi Y, Naranjo J A, Motoki A, Sumino H, Hirata D, Anma R, Nagao K",2004,"Quaternary volcanic activity of Hudson and Lautaro volcanoes, Chilean Patagonia: new constraints from K-Ar ages","Rev Geol Chile, 31: 207-224"
358057,"Hudson, Cerro",Smithsonian Institution-CSLP,1968-75,[Event notification cards],Center for Short-Lived Phenomena (CSLP) Event Cards
358057,"Hudson, Cerro",Stern C R,2008,Holocene tephrochronology record of large explosive eruptions in the southernmost Patagonian Andes,"Bull Volc, 70: 435-454"
358057,"Hudson, Cerro","Stern C R, Naranjo J A",1995,Summary of the Holocene eruptive history of the Hudson volcano,"In: Bitschene P R, Mendia J (eds) {The August 1991 eruption of the Hudson volcano (Patagonian Andes): a thousand days after}, Univ Nac de la Patagonia San Juan Bosco, Serv Nac Geol, p. 160-164"
358058,Río Murta,"Guivel C, Morata D, Pelleter E, Espinoza F, Maury R C, Lagabrielle Y, Polve M, Bellon H, Cotten J, Benoit M, Suarez M, de la Cruz R",2006,Miocene to Late Quaternary patagonian basalts (46-47° S): geochronometric and geochemical evidence for slab tearing due to active spreading ridge subduction,"J Volc Geotherm Res, 149: 346-370"
358058,Río Murta,"Gutierrez F, Giocada A, Gonzalez Ferran O, Lahsen A, Mazzuoli R",2005,The Hudson volcano and surrounding monogenetic centres (Chilean Patagonia): an example of volcanism associated with ridge-trench collision environment,"J Volc Geotherm Res, 145: 207-233"
358059,Arenales,Lliboutry L,1999,Glaciers of the Wet Andes,"In: Williams R J Jr, Ferringo J G (eds) Glaciers of South America, {U S Geol Surv Prof Pap}, 1386-I: 148-206"
358060,Lautaro,Casertano L,1963a,Chilean Continent,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 15: 1-55"
358060,Lautaro,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358060,Lautaro,Lliboutry L,1999,Glaciers of the Wet Andes,"In: Williams R J Jr, Ferringo J G (eds) Glaciers of South America, {U S Geol Surv Prof Pap}, 1386-I: 148-206"
358060,Lautaro,Martinic-B M,1988,Actividad volcanica historica en la region de Magellenes,"Rev Geol Chile, 15: 181-186"
358060,Lautaro,Moreno H,1985,,(pers. comm.)
358060,Lautaro,"Motoki A, Orihashi Y, Naranjo J A, Hirata D, Scvarca P, Anma R",2006,"Geologic reconnaissance of Lautaro volcano, Chilean Patagonia","Rev Geol Chile, 33: 177-187"
358060,Lautaro,"Orihashi Y, Naranjo J A, Motoki A, Sumino H, Hirata D, Anma R, Nagao K",2004,"Quaternary volcanic activity of Hudson and Lautaro volcanoes, Chilean Patagonia: new constraints from K-Ar ages","Rev Geol Chile, 31: 207-224"
358060,Lautaro,Shipton E,1960,Volcanic activity on the Patagonian ice cap,"Geog Jour, 126: 389-396"
358060,Lautaro,Stern C R,1990,Tephrochronology of southernmost Patagonia,"Natl Geog Res, 6: 110-126"
358061,Viedma,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358061,Viedma,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
358061,Viedma,Kilian R,1991,A volcanic eruption of 1988 on the Viedma glacier in the Patagonian Andes (49° 22' S),Preprint from unknown journal
358061,Viedma,Shipton E,1960,Volcanic activity on the Patagonian ice cap,"Geog Jour, 126: 389-396"
358062,Aguilera,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358062,Aguilera,"Kilian R, Hohner M, Biester H, Wallrabe-Adams H J, Stern C R",2003,Holocene peat and lake sediment tephra record from the southernmost Chilean Andes (53-55° S),"Rev Geol Chile, 30: 23-37"
358062,Aguilera,Stern C R,1990,Tephrochronology of southernmost Patagonia,"Natl Geog Res, 6: 110-126"
358062,Aguilera,Stern C R,2008,Holocene tephrochronology record of large explosive eruptions in the southernmost Patagonian Andes,"Bull Volc, 70: 435-454"
358063,Reclus,Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358063,Reclus,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
358063,Reclus,Martinic-B M,1988,Actividad volcanica historica en la region de Magellenes,"Rev Geol Chile, 15: 181-186"
358063,Reclus,Moreno H,1985,,(pers. comm.)
358063,Reclus,Stern C R,1990,Tephrochronology of southernmost Patagonia,"Natl Geog Res, 6: 110-126"
358063,Reclus,Stern C R,2008,Holocene tephrochronology record of large explosive eruptions in the southernmost Patagonian Andes,"Bull Volc, 70: 435-454"
358064,Meullín,"Vargas, G, Robolledo S, Supulveda S A, Lahsen A, Thiele R, Townley B, Padilla C, Rauld R, Herrera M H, Lara M",2013,"Submarine earthquake rupture, active faulting and volcanism along the major Liquine-Ofqui Fault Zone and implications for seismic hazard assessments in the Patagonian Andes","Andean Geol, 40: 141-171"
358070,"Burney, Monte",Casertano L,1963a,Chilean Continent,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 15: 1-55"
358070,"Burney, Monte",Gonzalez-Ferran O,1995,Volcanes de Chile,"Santiago: Instituto Geografico Militar, 635 p"
358070,"Burney, Monte","Kilian R, Hohner M, Biester H, Wallrabe-Adams H J, Stern C R",2003,Holocene peat and lake sediment tephra record from the southernmost Chilean Andes (53-55° S),"Rev Geol Chile, 30: 23-37"
358070,"Burney, Monte",Stern C R,1990,Tephrochronology of southernmost Patagonia,"Natl Geog Res, 6: 110-126"
358070,"Burney, Monte",Stern C R,2008,Holocene tephrochronology record of large explosive eruptions in the southernmost Patagonian Andes,"Bull Volc, 70: 435-454"
358080,Pali-Aike Volcanic Field,"D'Orazio M, Agostini S, Mazzarini F, Innocenti F, Manetti P, Haller M J, Lahsen A",2000,"The Pali Aike volcanic field, Patagonia: slab-window magmatism near the tip of South America","Tectonophysics, 321: 407-427"
